Mach,CD Power-On
2.8,1.031318242
2.81,1.030224175
2.82,1.029133069
2.83,1.028045032
2.84,1.026959972
2.85,1.025877969
2.86,1.02479874
2.87,1.023722412
2.88,1.022648987
2.89,1.021578315
2.9,1.020510416
2.91,1.019445346
2.92,1.018382893
2.93,1.017323144
2.94,1.016265985
2.95,1.01521147
2.96,1.014159507
2.97,1.013109969
2.98,1.012062923
2.99,1.011018356
3,1.009976244
3.01,1.008994837
3.02,1.00808383
3.03,1.007175165
3.04,1.006268943
3.05,1.005365211
3.06,1.00446386
3.07,1.00356506
3.08,1.002668597
3.09,1.001774713
3.1,1.000883224
3.11,0.999994249
3.12,0.999107823
3.13,0.998223751
3.14,0.997342368
3.15,0.996463376
3.16,0.995586888
3.17,0.994713041
3.18,0.993841564
3.19,0.992972739
3.2,0.992106401
3.21,0.991242591
3.22,0.990381272
3.23,0.989522601
3.24,0.98866647
3.25,0.987812806
3.26,0.98696172
3.27,0.986113225
3.28,0.985267324
3.29,0.984423949
3.3,0.9835831
3.31,0.982744792
3.32,0.981909122
3.33,0.981075917
3.34,0.980245392
3.35,0.979417336
3.36,0.97859188
3.37,0.977769019
3.38,0.976948675
3.39,0.976130834
3.4,0.975315625
3.41,0.974502954
3.42,0.973692819
3.43,0.972885327
3.44,0.972080303
3.45,0.971277812
3.46,0.970477908
3.47,0.96968058
3.48,0.96888572
3.49,0.968093447
3.5,0.967303653
3.51,0.966516363
3.52,0.96573166
3.53,0.964949568
3.54,0.96416986
3.55,0.963392778
3.56,0.962618096
3.57,0.961845928
3.58,0.961076282
3.59,0.960309138
3.6,0.959544532
3.61,0.958782335
3.62,0.958022667
3.63,0.957265521
3.64,0.956510707
3.65,0.955758404
3.66,0.955008634
3.67,0.954261296
3.68,0.95351639
3.69,0.952773895
3.7,0.952033837
3.71,0.951296197
3.72,0.950560903
3.73,0.949828204
3.74,0.949097748
3.75,0.948369816
3.76,0.947644195
3.77,0.946920894
3.78,0.946200113
3.79,0.945481645
3.8,0.944765492
3.81,0.944051758
3.82,0.943340311
3.83,0.942631188
3.84,0.941924456
3.85,0.941220126
3.86,0.940517899
3.87,0.939818152
3.88,0.9391206
3.89,0.938425331
3.9,0.937732348
3.91,0.937041738
3.92,0.936353307
3.93,0.93566704
3.94,0.934983141
3.95,0.934301397
3.96,0.933621921
3.97,0.932944679
3.98,0.932269691
3.99,0.931596745
4,0.930926126
4.01,0.930257648
4.02,0.929591288
4.03,0.928927145
4.04,0.928265117
4.05,0.927605206
4.06,0.926947487
4.07,0.926291857
4.08,0.925638325
4.09,0.92498688
4.1,0.9243375
4.11,0.923690303
4.12,0.923045066
4.13,0.922401885
4.14,0.921760849
4.15,0.921121774
4.16,0.920484821
4.17,0.919849803
4.18,0.919216813
4.19,0.918585724
4.2,0.917956755
4.21,0.917329682
4.22,0.916704605
4.23,0.916081518
4.24,0.91546031
4.25,0.914840968
4.26,0.914223685
4.27,0.913608266
4.28,0.912994787
4.29,0.912383057
4.3,0.911773359
4.31,0.911165373
4.32,0.910559313
4.33,0.909955156
4.34,0.90935279
4.35,0.908752229
4.36,0.908153538
4.37,0.907556524
4.38,0.906961379
4.39,0.906367989
4.4,0.90577635
4.41,0.905186548
4.42,0.904598369
4.43,0.904012017
4.44,0.90342728
4.45,0.902844343
4.46,0.902263101
4.47,0.90168344
4.48,0.901105567
4.49,0.900529254
4.5,0.899954695
4.51,0.899381685
4.52,0.898810317
4.53,0.898240588
4.54,0.897672472
4.55,0.897105965
4.56,0.896540961
4.57,0.895977556
4.58,0.895415725
4.59,0.89485547
4.6,0.894296685
4.61,0.893739443
4.62,0.89318365
4.63,0.892629389
4.64,0.892076668
4.65,0.891525439
4.66,0.890975529
4.67,0.89042721
4.68,0.88988018
4.69,0.88933472
4.7,0.888790638
4.71,0.888247896
4.72,0.88770661
4.73,0.887166654
4.74,0.88662812
4.75,0.886090801
4.76,0.885554989
4.77,0.885020481
4.78,0.88448724
4.79,0.883955291
4.8,0.883424588
4.81,0.882895255
4.82,0.882367256
4.83,0.881840397
4.84,0.88131475
4.85,0.880790421
4.86,0.880267293
4.87,0.879745358
4.88,0.879224608
4.89,0.878705116
4.9,0.878186688
4.91,0.877669517
4.92,0.877153477
4.93,0.876638472
4.94,0.876124676
4.95,0.875612004
4.96,0.875100408
4.97,0.874589913
4.98,0.874080484
4.99,0.873572123
5,0.873064812
5.01,0.872628129
5.02,0.872141657
5.03,0.87165657
5.04,0.871172731
5.05,0.870690229
5.06,0.870209166
5.07,0.869729304
5.08,0.869250753
5.09,0.868773484
5.1,0.868297479
5.11,0.867822647
5.12,0.867349166
5.13,0.866876808
5.14,0.866405682
5.15,0.865935751
5.16,0.865466917
5.17,0.864999261
5.18,0.864532782
5.19,0.864067444
5.2,0.863603156
5.21,0.863139983
5.22,0.862677932
5.23,0.862216887
5.24,0.861756928
5.25,0.861298028
5.26,0.860840104
5.27,0.860383226
5.28,0.859927376
5.29,0.859472354
5.3,0.859018432
5.31,0.858565511
5.32,0.858113374
5.33,0.857662301
5.34,0.857212094
5.35,0.856762725
5.36,0.856314274
5.37,0.855866754
5.38,0.855420026
5.39,0.85497409
5.4,0.854529043
5.41,0.854084749
5.42,0.853641307
5.43,0.853198701
5.44,0.852756732
5.45,0.85231567
5.46,0.851875208
5.47,0.851435528
5.48,0.850996622
5.49,0.85055828
5.5,0.850120785
5.51,0.849683829
5.52,0.84924759
5.53,0.848811957
5.54,0.848377024
5.55,0.84794268
5.56,0.847508899
5.57,0.847075781
5.58,0.84664321
5.59,0.846211165
5.6,0.845779741
5.61,0.845348827
5.62,0.844918407
5.63,0.844488469
5.64,0.844059092
5.65,0.84363008
5.66,0.843201703
5.67,0.842773663
5.68,0.842346143
5.69,0.841919025
5.7,0.841492289
5.71,0.84106595
5.72,0.840639977
5.73,0.840214443
5.74,0.839789271
5.75,0.839364412
5.76,0.838939876
5.77,0.838515642
5.78,0.838091803
5.79,0.83766825
5.8,0.837244856
5.81,0.836821822
5.82,0.836399021
5.83,0.835976455
5.84,0.835554106
5.85,0.835132056
5.86,0.834710108
5.87,0.834288432
5.88,0.833866823
5.89,0.833445471
5.9,0.833024269
5.91,0.832603187
5.92,0.832182224
5.93,0.831761364
5.94,0.831340506
5.95,0.830919815
5.96,0.830499203
5.97,0.830078751
5.98,0.829658231
5.99,0.829237748
