hour,lat,lon,v
2022-03-19T12:00:00Z,19.25,-99.6,2.9691417948558234
2022-03-19T12:00:00Z,19.25,-99.35,3.6165546665037684
2022-03-19T12:00:00Z,19.25,-99.1,3.7067019895510187
2022-03-19T12:00:00Z,19.0,-99.6,2.7896226096047387
2022-03-19T12:00:00Z,19.0,-99.35,3.609090855885878
2022-03-19T12:00:00Z,19.0,-99.1,3.2786476039847186
2022-03-20T10:00:00Z,19.25,-99.6,2.228576689392386
2022-03-20T10:00:00Z,19.25,-99.35,2.4125547744931195
2022-03-20T10:00:00Z,19.25,-99.1,2.5149156058241915
2022-03-20T10:00:00Z,19.0,-99.6,2.010575259786722
2022-03-20T10:00:00Z,19.0,-99.35,2.0786219487965827
2022-03-20T10:00:00Z,19.0,-99.1,1.68158599696697
2022-03-20T11:00:00Z,19.25,-99.6,1.5003220248181965
2022-03-20T11:00:00Z,19.25,-99.35,1.7229762194843636
2022-03-20T11:00:00Z,19.25,-99.1,2.1195275082868408
2022-03-20T11:00:00Z,19.0,-99.6,1.389818854631244
2022-03-20T11:00:00Z,19.0,-99.35,1.47502261480171
2022-03-20T11:00:00Z,19.0,-99.1,1.2783463583900199
2022-03-20T12:00:00Z,19.25,-99.6,1.1903315526621663
2022-03-20T12:00:00Z,19.25,-99.35,1.4411931355076342
2022-03-20T12:00:00Z,19.25,-99.1,1.8782622533786604
2022-03-20T12:00:00Z,19.0,-99.6,0.8873202280968906
2022-03-20T12:00:00Z,19.0,-99.35,1.0306835515236477
2022-03-20T12:00:00Z,19.0,-99.1,0.91252270550795
