time,lat,lon,u
2022-03-19T12:00:00Z,19.25,-99.6,0.608295967360854
2022-03-19T12:00:00Z,19.25,-99.35,0.5072432425116244
2022-03-19T12:00:00Z,19.25,-99.1,0.7743960764407639
2022-03-19T12:00:00Z,19.0,-99.6,0.6201845232254692
2022-03-19T12:00:00Z,19.0,-99.35,0.7947764579229615
2022-03-19T12:00:00Z,19.0,-99.1,0.9867766351364975
2022-03-20T10:00:00Z,19.25,-99.6,1.010978338146607
2022-03-20T10:00:00Z,19.25,-99.35,1.1908352047270003
2022-03-20T10:00:00Z,19.25,-99.1,1.1779276297882753
2022-03-20T10:00:00Z,19.0,-99.6,0.7764341145889837
2022-03-20T10:00:00Z,19.0,-99.35,1.4389663492727556
2022-03-20T10:00:00Z,19.0,-99.1,1.4642719896131509
2022-03-20T11:00:00Z,19.25,-99.6,0.7059519619630505
2022-03-20T11:00:00Z,19.25,-99.35,0.86271106286362
2022-03-20T11:00:00Z,19.25,-99.1,0.9053400274638832
2022-03-20T11:00:00Z,19.0,-99.6,0.5002799455052069
2022-03-20T11:00:00Z,19.0,-99.35,0.9952684607540798
2022-03-20T11:00:00Z,19.0,-99.1,1.0209986923753542
2022-03-20T12:00:00Z,19.25,-99.6,0.7384756540783908
2022-03-20T12:00:00Z,19.25,-99.35,0.8154965124298623
2022-03-20T12:00:00Z,19.25,-99.1,0.9155302182049819
2022-03-20T12:00:00Z,19.0,-99.6,0.569912915569382
2022-03-20T12:00:00Z,19.0,-99.35,0.8609277794839276
2022-03-20T12:00:00Z,19.0,-99.1,0.7980033516576428
